job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,https://wuzzuf.net/jobs/p/39a68f94-611c-4a07-9cba-a79c172fc438-Junior-Technical-Support-Engineer---Upper-Egypt-MigrationIT-com-Assiut-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=4,"Full Time · Entry Level · 1-2 Yrs of Exp · ITIL · Technical Support · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software · Hardware - November 10, 2020","Assiut, Egypt",Entry Level,Full Time,Software Engneering 
Software Quality Control Engineer,Bnsights,https://wuzzuf.net/jobs/p/c9874cab-e008-49ac-8f0e-d0694ff2c51f-Software-Quality-Control-Engineer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=13,Full Time · Entry Level · 0-3 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New,"New Cairo, Cairo",Entry Level,Full Time,Software Engneering 
Software Developer,Bnsights,https://wuzzuf.net/jobs/p/adb37853-4505-4eed-87e9-7b8a9ff34feb-Software-Developer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1,Full Time · Entry Level · 0-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · Software · Angular · C# · .NET · Design · MVC - New,"New Cairo, Cairo",Entry Level,Full Time,Software Engneering 
Software Developer,Rashideen Egypt for Trade,https://wuzzuf.net/jobs/p/ba37eef6-36b6-4c29-8b8f-3c3a0432a397-Software-Developer-Rashideen-Egypt-for-Trade-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=5,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · Microsoft SQL Server · ERP · SQL - October 25, 2020","Maadi, Cairo",Entry Level,Full Time,Software Engneering 
Software Developer,AIESEC - MANSOURA,https://wuzzuf.net/internship/e65e2bc0-d223-4d7f-9d9a-7f3ab9744a31-Software-Developer-AIESEC---MANSOURA-Itajuba-Brazil?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=18,"Internship · Entry Level · Software Development · Information Technology (IT) · Software Engineering · Computer Science · Computing · Development · Git · English · Programming · Software Design - November 1, 2020","Itajuba, Brazil",Entry Level,Internship,Software Engneering 
Software Implementation Specialist,Informatique Education,https://wuzzuf.net/jobs/p/6b34ba79-e831-40db-ad30-5326276270f3-Software-Implementation-Specialist-Informatique-Education-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=7,"Full Time · Entry Level · 1-3 Yrs of Exp · Software Implementation · Database Fundamentals · Software Development · Computer Science · Computer Engineering · Information Technology (IT) · Software - November 4, 2020","Nasr City, Cairo",Entry Level,Full Time,Software Engneering 
Software Quality Control Engineer,Bnsights,https://wuzzuf.net/jobs/p/c9874cab-e008-49ac-8f0e-d0694ff2c51f-Software-Quality-Control-Engineer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=13,Full Time · Entry Level · 0-3 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New,"New Cairo, Cairo",Entry Level,Full Time,Software Engneering 
Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,https://wuzzuf.net/jobs/p/39a68f94-611c-4a07-9cba-a79c172fc438-Junior-Technical-Support-Engineer---Upper-Egypt-MigrationIT-com-Assiut-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=4,"Full Time · Entry Level · 1-2 Yrs of Exp · ITIL · Technical Support · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software · Hardware - November 10, 2020","Assiut, Egypt",Entry Level,Full Time,Software Engneering 
Software Developer,Bnsights,https://wuzzuf.net/jobs/p/adb37853-4505-4eed-87e9-7b8a9ff34feb-Software-Developer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1,Full Time · Entry Level · 0-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · Software · Angular · C# · .NET · Design · MVC - New,"New Cairo, Cairo",Entry Level,Full Time,Software Engneering 
Software Developer,Rashideen Egypt for Trade,https://wuzzuf.net/jobs/p/ba37eef6-36b6-4c29-8b8f-3c3a0432a397-Software-Developer-Rashideen-Egypt-for-Trade-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=5,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · Microsoft SQL Server · ERP · SQL - October 25, 2020","Maadi, Cairo",Entry Level,Full Time,Software Engneering 
Software Developer,AIESEC - MANSOURA,https://wuzzuf.net/internship/e65e2bc0-d223-4d7f-9d9a-7f3ab9744a31-Software-Developer-AIESEC---MANSOURA-Itajuba-Brazil?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=18,"Internship · Entry Level · Software Development · Information Technology (IT) · Software Engineering · Computer Science · Computing · Development · Git · English · Programming · Software Design - November 1, 2020","Itajuba, Brazil",Entry Level,Internship,Software Engneering 
Vodafone Egypt Customer Care Advisor,Vodafone Egypt,https://wuzzuf.net/jobs/p/7438ec4b-f23b-4004-9efd-62e304fccf91-Vodafone-Egypt-Customer-Care-Advisor-Vodafone-Egypt-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=6,"Full Time · Entry Level · 0-3 Yrs of Exp · Advisor · Customer Care · Customer Service · Customer Support · English · Communication · CCNA · Call Center · Customer Service/Support - November 17, 2020","Maadi, Cairo",Entry Level,Full Time,Software Engneering 
Software Implementation Specialist,Informatique Education,https://wuzzuf.net/jobs/p/6b34ba79-e831-40db-ad30-5326276270f3-Software-Implementation-Specialist-Informatique-Education-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=7,"Full Time · Entry Level · 1-3 Yrs of Exp · Software Implementation · Database Fundamentals · Software Development · Computer Science · Computer Engineering · Information Technology (IT) · Software - November 4, 2020","Nasr City, Cairo",Entry Level,Full Time,Software Engneering 
Vodafone Egypt Customer Care Advisor,Vodafone Egypt,https://wuzzuf.net/jobs/p/7438ec4b-f23b-4004-9efd-62e304fccf91-Vodafone-Egypt-Customer-Care-Advisor-Vodafone-Egypt-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=6,"Full Time · Entry Level · 0-3 Yrs of Exp · Advisor · Customer Care · Customer Service · Customer Support · English · Communication · CCNA · Call Center · Customer Service/Support - November 17, 2020","Maadi, Cairo",Entry Level,Full Time,Software Engneering 
IT Help Desk Specialist,Hidden Name,https://wuzzuf.net/jobs/p/0153e4e3-6e6f-4335-a1e0-d32984306af8-IT-Help-Desk-Specialist-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=106,"Full Time · Entry Level · 1+ Yrs of Exp · Males Only · Help Desk · English · Information Technology (IT) · Installation · Computer Science · CCNA · MCSE · Installation/Maintenance/Repair - November 2, 2020","Cairo, Egypt",Entry Level,Full Time,IT Category
IT Technical Support Specialist,Hidden Name,https://wuzzuf.net/jobs/p/c0d4b742-5e1b-498e-ad16-9fd90eae266d-IT-Technical-Support-Specialist-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=105,"Full Time · Entry Level · 1-4 Yrs of Exp · Information Technology (IT) · Communications Engineering · Engineering · Computer Hardware · CCNA · MCSA · Microsoft Exchange Server · Installation - November 16, 2020","10th Of Ramadan City, Cairo",Entry Level,Full Time,IT Category
IT programming Intern (.Net) - Seven,AIESEC - MANSOURA,https://wuzzuf.net/internship/9a0aa1b7-3d08-4f54-85ce-27873427b22d-IT-programming-Intern--Net---Seven-AIESEC---MANSOURA-Uberlandia-Brazil?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=112,"Internship · Entry Level · Information Technology (IT) · Computer Science · Programming · Software Development · Engineering · Computer · .NET · English · Node.js · React JS · Computer Engineering - November 5, 2020","Uberlandia, Brazil",Entry Level,Internship,IT Category
IT Help Desk Specialist,E3mel Business for Financial & Managerial Consultancy,https://wuzzuf.net/jobs/p/7b509cbf-1a1a-4e79-9918-3aecc6e45b8e-IT-Help-Desk-Specialist-E3mel-Business-for-Financial-Managerial-Consultancy-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=107,"Full Time · Entry Level · 1-3 Yrs of Exp · Males Only · Information Technology (IT) · Help Desk · Computer Science · Installation · Computer · Information Technology · Technology · Science - November 16, 2020","Maadi, Cairo",Entry Level,Full Time,IT Category
IT Specialist,London International Patient Services,https://wuzzuf.net/jobs/p/2d5c9c85-4d28-4995-b5b6-4a6cb73344b9-IT-Specialist-London-International-Patient-Services-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=120,"Full Time · Entry Level · 1-3 Yrs of Exp · Computer Science · Information Technology (IT) · CCNA · CISSP · MCSE · Installation · Maintenance · Firewall · Computer Engineering · Computer · Science - November 17, 2020","Sheraton, Cairo",Entry Level,Full Time,IT Category
IT Help Desk,Hidden Name,https://wuzzuf.net/jobs/p/db6df47b-9346-4165-ba4d-0e5ce75c7ba4-IT-Help-Desk-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=117,"Full Time · Entry Level · 1+ Yrs of Exp · IT HelpDesk · Information Technology (IT) · Software · CCNA · Computer Maintenance · Computer Science · Computer Hardware · MSCA · MCSE · Configurations - November 11, 2020","Obour City, Cairo",Entry Level,Full Time,IT Category
