job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Software Developer,Rednet It Services,https://wuzzuf.net/jobs/p/7f3aec8d-1724-4f0c-9823-1da77c1da615-Software-Developer-Rednet-It-Services-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=20,Full Time · Experienced · 2-3 Yrs of Exp · Software Development · C# · .NET · OOP · ADO.NET · SSRS · SSIS · Computer Engineering · Computer Science · Windows Forms · XML · javaScript · XSLT - New,"Maadi, Cairo",Experienced,Full Time,Software Engneering 
Senior Software Quality Control Engineer,Bnsights,https://wuzzuf.net/jobs/p/bbc5d1cb-33ff-4c10-acc2-c86eb421c9ec-Senior-Software-Quality-Control-Engineer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=14,Full Time · Experienced · 3-5 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New,"New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Senior E-Commerce Software Developer (Magento 2),shop4build,https://wuzzuf.net/jobs/p/2be88ac7-5a6c-4a5a-8f77-bee5e8ee194b-Senior-E-Commerce-Software-Developer-Magento-2-shop4build-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=12,Full Time · Part Time · Work From Home · Experienced · 2+ Yrs of Exp · E-Commerce · PHP · MySQL · Agile · Information Technology (IT) · Computer Science · Software · CSS · javaScript · HTML - New,"Maadi, Cairo",Experienced,Full Time,Software Engneering 
Software Developer,Interact Technology Solutions,https://wuzzuf.net/jobs/p/d62ebf2a-08d0-4ce4-8f35-4bf04436b429-Software-Developer-Interact-Technology-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=10,· Experienced · 2-4 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering · .NET - New,"Maadi, Cairo",Experienced,Full Time,Software Engneering 
Senior Software Developer,BlueCloud,https://wuzzuf.net/jobs/p/87061637-e2b1-4829-8ed5-6c02aa6aa616-Senior-Software-Developer-BlueCloud-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=17,"Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Software Engineering · Engineering · Computer Science · Programming · C++ · C/C++ · C#.Net · SQL · MySQL · SOAP · XSLT - November 22, 2020","Sheraton, Cairo",Experienced,Full Time,Software Engneering 
Senior Software Developer,BlueCloud,https://wuzzuf.net/jobs/p/87061637-e2b1-4829-8ed5-6c02aa6aa616-Senior-Software-Developer-BlueCloud-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=17,"Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Software Engineering · Engineering · Computer Science · Programming · C++ · C/C++ · C#.Net · SQL · MySQL · SOAP · XSLT - November 22, 2020","Sheraton, Cairo",Experienced,Full Time,Software Engneering 
ERP Sales Professional - For Egypt and Saudi...,OdooTec,https://wuzzuf.net/jobs/p/71c85f97-b730-4b13-b4f7-656ee174048d-ERP-Sales-Professional---For-Egypt-and-Saudi-Arabia-Based-in-Cairo-OdooTec-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=3,"Full Time · Experienced · 2+ Yrs of Exp · ERP · Odoo · CRM · Sales · Enterprise Software · eCommerce · IT · IT Sales · Software · Enterprise · B2B · Business Selling · Business Development - November 15, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
ERP Sales Professional - For Egypt and Saudi...,OdooTec,https://wuzzuf.net/jobs/p/71c85f97-b730-4b13-b4f7-656ee174048d-ERP-Sales-Professional---For-Egypt-and-Saudi-Arabia-Based-in-Cairo-OdooTec-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=3,"Full Time · Experienced · 2+ Yrs of Exp · ERP · Odoo · CRM · Sales · Enterprise Software · eCommerce · IT · IT Sales · Software · Enterprise · B2B · Business Selling · Business Development - November 15, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Senior Software Developer – “.Net Core” (4-6...,CrossWorkers,https://wuzzuf.net/jobs/p/a280d77d-217b-4f2a-a596-f33abaa122b4-Senior-Software-Developer-%E2%80%93-%E2%80%9C-Net-Core%E2%80%9D-4-6-Months-Contract-CrossWorkers-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=15,"· Experienced · 3-15 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SCRUM · Git · Unit Test · Web API · ASP.NET · MVC · .NET Core - November 22, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Senior Software Developer (Embedded C++),CrossWorkers,https://wuzzuf.net/jobs/p/3d075795-cfc6-4c64-ac31-f6c7e09c452e-Senior-Software-Developer-Embedded-C---CrossWorkers-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=16,"Full Time · Experienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · Agile · C++ · Programming · Scrum · Embedded - November 22, 2020","Cairo, Egypt",Experienced,Full Time,Software Engneering 
Senior E-Commerce Software Developer (Magento 2),shop4build,https://wuzzuf.net/jobs/p/2be88ac7-5a6c-4a5a-8f77-bee5e8ee194b-Senior-E-Commerce-Software-Developer-Magento-2-shop4build-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=12,Full Time · Part Time · Work From Home · Experienced · 2+ Yrs of Exp · E-Commerce · PHP · MySQL · Agile · Information Technology (IT) · Computer Science · Software · CSS · javaScript · HTML - New,"Maadi, Cairo",Experienced,Full Time,Software Engneering 
Software Developer,Interact Technology Solutions,https://wuzzuf.net/jobs/p/d62ebf2a-08d0-4ce4-8f35-4bf04436b429-Software-Developer-Interact-Technology-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=10,· Experienced · 2-4 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering · .NET - New,"Maadi, Cairo",Experienced,Full Time,Software Engneering 
Senior Software Developer,Bnsights,https://wuzzuf.net/jobs/p/2bb7bd92-fc36-4f7e-85c3-3772f64e468f-Senior-Software-Developer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2,Full Time · Experienced · 3-5 Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · SQL · MVC · Angular · C# · .NET · Programming · Design · Software - New,"New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Senior Software Developer – “.Net Core” (4-6...,CrossWorkers,https://wuzzuf.net/jobs/p/a280d77d-217b-4f2a-a596-f33abaa122b4-Senior-Software-Developer-%E2%80%93-%E2%80%9C-Net-Core%E2%80%9D-4-6-Months-Contract-CrossWorkers-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=15,"· Experienced · 3-15 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SCRUM · Git · Unit Test · Web API · ASP.NET · MVC · .NET Core - November 22, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Software Developer,Rednet It Services,https://wuzzuf.net/jobs/p/7f3aec8d-1724-4f0c-9823-1da77c1da615-Software-Developer-Rednet-It-Services-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=20,Full Time · Experienced · 2-3 Yrs of Exp · Software Development · C# · .NET · OOP · ADO.NET · SSRS · SSIS · Computer Engineering · Computer Science · Windows Forms · XML · javaScript · XSLT - New,"Maadi, Cairo",Experienced,Full Time,Software Engneering 
Magento Software Developer,Interact Technology Solutions,https://wuzzuf.net/jobs/p/796f19c8-b6c8-420c-8ec0-93a20272f75f-Magento-Software-Developer-Interact-Technology-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=19,"· Experienced · 2-4 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering · .NET - November 18, 2020","Maadi, Cairo",Experienced,Full Time,Software Engneering 
