job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Sales Supervisor - North Upper Egypt,PepsiCo International,https://wuzzuf.net/jobs/p/cc5848eb-a2c4-4055-94ef-a966cf74d2c0-Sales-Supervisor---North-Upper-Egypt-PepsiCo-International-Beni-Suef-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=9,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020","Beni Suef, Egypt",Manager,Full Time,Software Engneering 
Software Development Manager,Nahdet Misr Publishing Group,https://wuzzuf.net/jobs/p/bcd03e2d-9e2b-46ca-965c-73f1258a6b67-Software-Development-Manager-Nahdet-Misr-Publishing-Group-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=11,"Full Time · Manager · 10+ Yrs of Exp · Software Development · Development · Software · Information Technology (IT) · Computer Science · Software Engineering · .NET · IT/Software Development - November 23, 2020","Mohandessin, Giza",Manager,Full Time,Software Engneering 
Sales Supervisor - South Upper Egypt,PepsiCo International,https://wuzzuf.net/jobs/p/8721f35a-d14f-4d22-bebd-cccd99893e36-Sales-Supervisor---South-Upper-Egypt-PepsiCo-International-Aswan-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=8,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020","Aswan, Egypt",Manager,Full Time,Software Engneering 
Sales Supervisor - North Upper Egypt,PepsiCo International,https://wuzzuf.net/jobs/p/cc5848eb-a2c4-4055-94ef-a966cf74d2c0-Sales-Supervisor---North-Upper-Egypt-PepsiCo-International-Beni-Suef-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=9,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020","Beni Suef, Egypt",Manager,Full Time,Software Engneering 
Software Development Manager,Nahdet Misr Publishing Group,https://wuzzuf.net/jobs/p/bcd03e2d-9e2b-46ca-965c-73f1258a6b67-Software-Development-Manager-Nahdet-Misr-Publishing-Group-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=11,"Full Time · Manager · 10+ Yrs of Exp · Software Development · Development · Software · Information Technology (IT) · Computer Science · Software Engineering · .NET · IT/Software Development - November 23, 2020","Mohandessin, Giza",Manager,Full Time,Software Engneering 
Sales Supervisor - South Upper Egypt,PepsiCo International,https://wuzzuf.net/jobs/p/8721f35a-d14f-4d22-bebd-cccd99893e36-Sales-Supervisor---South-Upper-Egypt-PepsiCo-International-Aswan-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=8,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020","Aswan, Egypt",Manager,Full Time,Software Engneering 
IT Manager,Al Andalous Medical Company,https://wuzzuf.net/jobs/p/e9457272-083a-441e-99ed-ea9d131f8c23-IT-Manager-Al-Andalous-Medical-Company-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=119,"Full Time · Manager · 10-15 Yrs of Exp · IT · Manager · Information Technology (IT) · Project Management · Computer Science · Engineering · Pharmaceutical · IS · Less · SAP · ERP - November 2, 2020","6th Of October, Giza",Manager,Full Time,IT Category
IT Manager,Expand Cart,https://wuzzuf.net/jobs/p/ef86260f-6e45-4f20-829f-6342660aaeab-IT-Manager-Expand-Cart-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=101,Full Time · Manager · 6-10 Yrs of Exp · Information Technology (IT) · Computer Science · Project Management · Engineering · Management · Information Systems · Telecom · Computer Engineering - New,"Cairo, Egypt",Manager,Full Time,IT Category
IT Team Leader,World Business Fitness,https://wuzzuf.net/jobs/p/651ec085-e42e-48ca-ab45-a4903ed93815-IT-Team-Leader-World-Business-Fitness-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=102,"Full Time · Manager · 5-7 Yrs of Exp · IT · Information Technology (IT) · Computer Science · Software · IT/Software Development · Engineering - Telecom/Technology - October 25, 2020","New Cairo, Cairo",Manager,Full Time,IT Category
Assistant IT Manager - Alexandria,Paradise Inn Hotels & Resorts,https://wuzzuf.net/jobs/p/e7532d3d-0872-4a21-b9f7-ace615ec572a-Assistant-IT-Manager---Alexandria-Paradise-Inn-Hotels-Resorts-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=114,"Full Time · Manager · 7+ Yrs of Exp · Information Technology (IT) · Computer Science · Computer · Network Administration · Network Installation · Data Center Management · Data Governance · Software - November 23, 2020","Mahta Alraml, Alexandria",Manager,Full Time,IT Category
